@relation CombinePD-CO

@attribute Total_Left numeric
@attribute Total_Right numeric
@attribute PD-Yes-Control-No {Yes,No}

@data
92.29,1017.17,No
251.9,986.7,No
332.75,945.23,No
434.28,885.39,No
550.55,821.15,No
628.87,753.72,No
753.94,676.61,No
832.26,589.49,No
884.18,499.73,No
913.11,404.14,No
943.91,295.13,No
976.69,205.37,No
1018.93,138.38,No
1050.72,89.87,No
1079.43,65.23,No
1098.13,39.6,No
1115.07,16.17,No
1117.38,0,No
1118.48,0,No
1107.15,0,No
1093.73,0,No
1081.3,0,No
1061.17,0,No
1047.97,0,No
1040.93,0,No
1026.19,0,No
1022.56,0,No
1019.15,0,No
1019.59,0,No
1018.49,0,No
1022.12,0,No
1025.2,0,No
1035.21,0,No
1036.42,0,No
1046.1,0,No
1047.64,0,No
1053.25,0,No
1056.33,0,No
1052.81,0,No
1057.54,0,No
1060.07,0,No
1051.16,0,No
1052.81,0,No
1048.08,0,No
1042.69,5.61,No
1035.76,0,No
1029.05,0,No
1024.98,0,No
1018.6,0,No
1010.46,0,No
1001.66,0,No
995.28,0,No
984.39,0,No
977.68,0,No
981.2,0,No
973.5,0,No
966.79,0,No
956.56,0,No
952.71,0,No
955.79,0,No
956.12,0,No
952.16,3.41,No
951.61,24.53,No
937.09,82.28,No
915.53,342.76,No
883.96,467.61,No
840.4,618.42,No
782.87,713.9,No
714.89,838.86,No
630.63,864.71,No
533.72,870.98,No
427.57,879.67,No
314.16,903.54,No
226.82,938.63,No
158.51,978.23,No
99.33,1018.38,No
55.22,1053.8,No
36.41,1076.13,No
19.58,1095.38,No
18.04,1109.35,No
16.5,1115.73,No
12.98,1108.91,No
7.59,1100,No
7.59,1086.03,No
6.05,1061.83,No
6.05,1050.28,No
6.05,1037.41,No
4.51,1023.99,No
4.51,1012.66,No
2.97,1004.19,No
2.97,997.48,No
2.97,993.74,No
0,984.28,No
0,983.18,No
0,987.36,No
0,985.38,No
0,986.92,No
0,992.86,No
0,999.46,No
0,1003.75,No
0,1010.79,No
0,1009.69,No
0,1017.06,No
0,1022.56,No
0,1026.63,No
0,1037.3,No
0,1044.89,No
0,1055.56,No
0,1068.43,No
0,1079.98,No
0,1084.16,No
0,1096.15,No
0,1099.67,No
0,1103.3,No
0,1107.37,No
0,1109.57,No
0,1107.15,No
0,1095.38,No
0,1092.08,No
0,1080.97,No
0,1082.29,No
0,1083.39,No
0,1079.76,No
0,1076.9,No
6.93,1063.37,No
35.86,1051.93,No
92.29,1039.61,No
250.8,1013.43,No
324.06,979.11,No
412.28,931.04,No
510.18,880,No
581.79,814.33,No
662.09,732.38,No
744.15,647.57,No
805.53,560.67,No
854.59,460.24,No
893.42,350.79,No
936.98,255.31,No
976.91,168.3,No
1005.84,115.17,No
1032.46,78.21,No
1056.11,50.6,No
1060.95,32.23,No
1069.86,9.24,No
1073.93,4.18,No
1072.61,0,No
1064.8,0,No
1053.47,0,No
1036.09,0,No
1019.48,0,No
1007.27,0,No
995.17,0,No
987.36,0,No
972.51,0,No
968,0,No
961.84,0,No
950.07,0,No
946.99,0,No
941.38,0,No
942.59,0,No
943.91,0,No
945.67,0,No
947.1,0,No
941.82,0,No
947.1,0,No
944.02,0,No
949.08,0,No
947.87,0,No
943.58,0,No
948.64,0,No
948.97,0,No
947.1,0,No
946,0,No
942.81,0,No
944.79,0,No
934.34,0,No
929.94,0,No
926.09,0,No
912.78,0,No
903.32,0,No
901.23,0,No
907.72,0,No
907.06,0,No
910.91,0,No
906.18,0,No
905.74,0,No
895.07,0,No
883.63,0,No
870.54,19.25,No
847,70.29,No
819.94,340.45,No
786.06,462.44,No
735.13,620.73,No
681.34,737.66,No
589.05,851.51,No
508.31,872.52,No
423.61,896.61,No
330.77,918.61,No
239.25,951.61,No
158.73,994.73,No
93.72,1046.21,No
57.64,1086.36,No
36.85,1116.61,No
23.54,1137.29,No
14.96,1151.26,No
4.51,1165.34,No
2.97,1163.69,No
10.23,1151.7,No
2.97,1141.36,No
0,1125.41,No
0,1107.04,No
0,1091.86,No
0,1073.49,No
0,1056.11,No
0,1034.66,No
0,1025.42,No
0,1018.05,No
0,1007.6,No
0,1002.32,No
0,999.46,No
0,996.71,No
0,1003.42,No
0,1006.39,No
0,1013.32,No
0,1015.08,No
0,1019.59,No
0,1032.57,No
0,1035.1,No
0,1037.96,No
0,1044.01,No
0,1055.34,No
0,1058.2,No
0,1064.58,No
0,1070.96,No
0,1071.95,No
0,1078.66,No
0,1080.53,No
0,1086.58,No
0,1084.82,No
0,1078.11,No
0,1074.59,No
0,1070.85,No
0,1068.87,No
0,1078,No
0,1077.89,No
0,1085.92,No
0,1078.99,No
0,1071.18,No
0,1068.87,No
3.41,1052.37,No
0,1039.28,No
12.65,1011.23,No
54.45,980.87,No
221.76,937.64,No
351.89,888.58,No
440.11,823.68,No
579.37,760.21,No
711.92,687.72,No
899.69,607.09,No
987.91,510.29,No
1056,412.06,No
1083.28,299.42,No
1099.01,204.49,No
1111,130.79,No
1114.96,83.27,No
1119.91,55.77,No
1123.87,32.78,No
1117.6,11.33,No
1113.75,4.18,No
1100.11,4.18,No
1090.54,0,No
1074.81,0,No
1055.56,0,No
1030.7,0,No
1015.85,0,No
1000.01,0,No
985.49,0,No
983.18,0,No
974.71,0,No
975.59,0,No
978.56,0,No
986.48,0,No
992.75,0,No
1002.76,0,No
1013.65,0,No
1019.15,0,No
1027.84,0,No
1034.11,0,No
1039.39,0,No
1045.33,0,No
1044.56,0,No
1045.22,0,No
1039.28,0,No
1035.21,0,No
1031.14,0,No
1028.94,5.61,No
1020.47,0,No
1016.62,0,No
1009.69,0,No
1000.78,0,No
998.03,0,No
991.65,0,No
987.47,0,No
986.37,0,No
982.63,0,No
985.38,0,No
990.55,0,No
987.03,0,No
983.95,0,No
969.1,0,No
967.12,0,No
963.82,0,No
962.06,0,No
953.81,0,No
947.65,6.93,No
932.69,31.57,No
905.52,148.5,No
878.46,398.42,No
835.34,517.55,No
777.26,653.84,No
707.08,729.08,No
612.26,860.64,No
522.06,907.61,No
424.49,913.11,No
326.59,928.84,No
228.69,955.57,No
150.81,1000.89,No
87.01,1043.46,No
55.66,1086.03,No
38.61,1112.76,No
25.08,1134.21,No
14.96,1137.51,No
4.51,1146.42,No
4.51,1142.02,No
2.97,1134.76,No
2.97,1120.02,No
0,1099.78,No
0,1082.4,No
0,1070.08,No
0,1050.17,No
0,1040.6,No
0,1034.11,No
0,1022.34,No
0,1026.3,No
0,1022.23,No
0,1026.19,No
0,1016.62,No
0,1023.88,No
0,1026.74,No
0,1031.36,No
0,1030.81,No
0,1037.85,No
0,1042.69,No
0,1052.15,No
0,1052.15,No
2.97,1058.42,No
0,1068.1,No
0,1071.29,No
0,1075.91,No
0,1083.06,No
0,1088.12,No
0,1082.95,No
0,1093.73,No
0,1090.32,No
0,1094.39,No
0,1097.47,No
0,1101.76,No
0,1104.07,No
0,1104.4,No
0,1096.81,No
0,1083.94,No
0,1086.47,No
0,1087.68,No
0,1090.98,No
0,1089.22,No
0,1082.18,No
0,1069.31,No
0,1055.23,No
18.59,1035.87,No
55.77,1012.55,No
194.15,977.13,No
326.15,941.27,No
406.45,885.28,No
532.07,819.61,No
677.93,755.15,No
808.28,673.31,No
878.13,586.52,No
934.01,498.3,No
966.9,401.5,No
988.9,284.46,No
1010.9,186.56,No
1032.24,108.68,No
1050.28,69.52,No
1060.07,39.71,No
1071.51,13.97,No
1076.57,9.24,No
1078.77,9.24,No
1079.1,0,No
1061.83,0,No
1050.06,0,No
1033.23,0,No
1021.68,0,No
1004.96,0,No
994.18,0,No
987.69,0,No
986.37,0,No
979,0,No
982.52,0,No
982.19,0,No
986.7,0,No
995.06,0,No
995.17,0,No
1004.52,0,No
1006.72,0,No
1011.12,0,No
1012.99,0,No
1008.26,0,No
1003.09,0,No
1006.83,0,No
1001.44,0,No
1002.54,0,No
1000.89,0,No
994.84,5.61,No
990.55,0,No
990.44,0,No
988.35,0,No
986.04,0,No
983.84,0,No
979.99,0,No
976.03,0,No
971.3,0,No
973.72,0,No
971.96,0,No
963.82,0,No
953.37,0,No
940.06,0,No
933.35,0,No
933.46,0,No
926.97,0,No
923.23,0,No
912.34,0,No
895.62,3.41,No
879.23,24.53,No
858.77,86.13,No
824.23,370.15,No
781,494.67,No
720.39,658.24,No
653.29,768.02,No
562.43,911.79,No
475.97,948.09,No
377.3,952.27,No
286.22,962.06,No
206.58,994.95,No
133.76,1026.52,No
80.63,1063.15,No
52.36,1100.55,No
35.31,1120.35,No
23.54,1139.27,No
14.96,1146.09,No
4.51,1149.5,No
4.51,1142.46,No
4.51,1133.11,No
2.97,1115.95,No
0,1096.04,No
0,1076.57,No
0,1056.66,No
0,1047.75,No
0,1036.53,No
0,1024.87,No
0,1026.52,No
0,1027.95,No
0,1026.3,No
0,1032.13,No
0,1036.2,No
0,1039.72,No
0,1043.13,No
0,1049.4,No
0,1053.58,No
0,1051.71,No
0,1066.45,No
0,1068.32,No
0,1073.05,No
0,1078.66,No
0,1081.41,No
0,1087.35,No
0,1096.26,No
0,1104.29,No
0,1108.03,No
0,1113.2,No
0,1116.28,No
0,1126.07,No
0,1125.96,No
0,1135.09,No
0,1132.45,No
0,1131.24,No
0,1124.31,No
0,1119.14,No
0,1105.28,No
0,1094.83,No
0,1086.69,No
0,1084.05,No
0,1084.16,No
0,1073.38,No
4.62,1063.48,No
30.14,1041.81,No
88.88,1017.39,No
271.81,994.62,No
342.98,963.05,No
442.86,915.2,No
557.26,860.53,No
695.09,791.56,No
814.11,711.04,No
872.85,630.74,No
914.87,539.88,No
935.55,439.67,No
952.82,351.34,No
972.18,249.48,No
994.62,169.07,No
1014.75,99.99,No
1030.7,57.97,No
1046.54,27.61,No
1053.03,11.33,No
1057.32,9.24,No
1055.89,9.24,No
1043.35,4.18,No
1030.92,4.18,No
1018.49,4.18,No
1002.76,4.18,No
993.74,4.18,No
985.49,4.18,No
972.73,4.18,No
968.88,4.18,No
970.09,0,No
968.88,0,No
969.76,4.18,No
975.26,0,No
982.85,0,No
982.19,4.18,No
985.27,4.18,No
991.1,4.18,No
995.61,4.18,No
1004.74,4.18,No
1004.85,4.18,No
1011.67,4.18,No
1010.35,4.18,No
1015.41,4.18,No
1016.18,4.18,No
1014.53,4.18,No
1012.99,9.79,No
1008.26,9.79,No
1006.28,5.61,No
1000.01,0,No
993.63,0,No
985.27,0,No
980.98,0,No
971.19,0,No
968.55,0,No
961.62,0,No
957.11,0,No
950.62,0,No
936.76,0,No
926.86,0,No
921.91,0,No
917.18,0,No
914.87,0,No
903.65,0,No
898.48,0,No
891.55,0,No
874.17,0,No
858.77,3.41,No
838.97,19.25,No
818.29,64.57,No
793.1,287.76,No
751.41,444.29,No
705.43,591.58,No
641.63,776.38,No
562.65,887.04,No
476.3,915.64,No
386.98,916.41,No
295.35,919.05,No
212.52,932.91,No
136.62,962.39,No
82.94,1000.12,No
52.58,1040.82,No
37.18,1068.1,No
23.54,1090.54,No
9.9,1110.78,No
4.51,1124.31,No
2.97,1130.69,No
2.97,1125.74,No
0,1119.36,No
0,1104.18,No
0,1089.66,No
0,1072.39,No
0,1054.68,No
0,1045.88,No
0,1036.31,No
0,1028.94,No
0,1027.62,No
0,1023.33,No
0,1027.07,No
0,1027.18,No
0,1031.25,No
0,1034.77,No
0,1043.57,No
0,1042.58,No
0,1049.84,No
0,1055.01,No
0,1056.99,No
0,1062.49,No
0,1067.33,No
0,1073.71,No
0,1084.82,No
0,1091.09,No
0,1098.24,No
0,1101.98,No
0,1107.92,No
0,1110.89,No
0,1116.72,No
0,1115.4,No
0,1119.03,No
0,1115.07,No
0,1111.88,No
0,1110.56,No
0,1098.13,No
0,1090.43,No
0,1086.8,No
0,1083.28,No
0,1085.04,No
0,1084.49,No
6.93,1071.73,No
37.18,1055.01,No
110.99,1035.21,No
274.45,1008.48,No
341.66,970.42,No
457.93,919.82,No
633.6,851.62,No
790.68,782.43,No
839.52,704.22,No
892.21,612.92,No
921.58,519.31,No
943.47,416.13,No
967.45,309.1,No
998.8,207.46,No
1027.29,129.47,No
1046.65,74.58,No
1054.68,49.17,No
1059.52,25.96,No
1059.19,9.24,No
1058.42,9.24,No
1050.94,5.06,No
1033.56,0,No
1016.73,0,No
1001.88,0,No
988.46,0,No
979.66,0,No
973.72,0,No
972.18,0,No
970.97,0,No
974.05,0,No
975.26,0,No
976.69,0,No
983.62,0,No
982.96,0,No
991.1,0,No
994.07,0,No
997.15,0,No
1002.32,0,No
1000.67,0,No
1001.88,0,No
998.47,0,No
1001.77,0,No
998.14,0,No
1003.53,0,No
1003.75,0,No
997.81,5.61,No
998.03,0,No
998.58,0,No
989.45,0,No
987.47,0,No
982.85,0,No
980.65,0,No
969.65,0,No
975.59,0,No
971.96,0,No
976.58,0,No
972.62,0,No
964.26,0,No
955.02,0,No
952.93,0,No
951.17,0,No
951.17,0,No
944.68,0,No
933.24,12.21,No
911.79,29.81,No
892.76,95.59,No
863.39,302.72,No
819.06,412.17,No
766.7,533.5,No
698.61,632.28,No
616.44,770.77,No
527.56,818.84,No
434.5,834.24,No
335.61,853.05,No
252.01,883.08,No
175.01,922.68,No
103.51,975.7,No
66.55,1021.68,No
45.76,1058.97,No
28.6,1089.22,No
16.72,1108.14,No
2.97,1116.83,No
2.97,1123.1,No
0,1118.04,No
0,1102.86,No
0,1085.15,No
0,1069.64,No
0,1050.83,No
0,1041.15,No
0,1026.19,No
0,1013.87,No
0,1006.28,No
0,999.68,No
0,998.25,No
0,996.05,No
0,991.98,No
0,996.38,No
0,998.03,No
0,1002.98,No
0,1005.18,No
0,1006.83,No
0,1009.47,No
0,1017.5,No
0,1028.83,No
0,1027.4,No
0,1040.16,No
0,1045.11,No
0,1051.27,No
0,1056.22,No
0,1069.2,No
0,1073.71,No
0,1078.22,No
0,1086.03,No
0,1085.59,No
0,1091.2,No
0,1092.19,No
0,1087.9,No
0,1083.06,No
0,1084.16,No
0,1085.26,No
0,1090.43,No
0,1082.73,No
16.17,1072.28,No
53.35,1058.09,No
196.57,1028.94,No
330.55,995.72,No
419.54,952.49,No
549.34,890.67,No
707.3,820.93,No
821.48,737.66,No
866.14,650.65,No
908.93,549.78,No
938.96,456.06,No
962.5,351.34,No
990.44,248.82,No
1017.5,157.74,No
1041.7,96.14,No
1051.71,55.88,No
1060.73,30.69,No
1066.12,11.88,No
1068.43,9.24,No
1060.4,5.06,No
1051.49,0,No
1036.31,0,No
1019.26,0,No
1007.05,0,No
990.55,0,No
982.08,0,No
973.28,0,No
967.78,0,No
968.99,0,No
963.6,0,No
962.83,0,No
966.9,0,No
970.64,0,No
974.93,0,No
977.13,0,No
983.29,0,No
987.69,0,No
989.89,0,No
992.2,0,No
989.45,0,No
993.52,0,No
994.84,0,No
996.38,0,No
1001.33,0,No
999.35,0,No
1002.1,0,No
1000.01,0,No
998.03,0,No
998.03,0,No
988.9,0,No
991.76,0,No
989.78,0,No
980.98,0,No
981.2,0,No
973.06,0,No
964.92,0,No
951.72,0,No
937.86,0,No
931.37,0,No
922.79,0,No
921.25,0,No
921.25,0,No
913.44,0,No
905.85,5.17,No
892.1,26.29,No
875.82,104.06,No
843.26,332.09,No
808.94,454.3,No
755.7,595.21,No
691.79,708.4,No
618.86,821.59,No
531.52,863.17,No
438.13,894.96,No
347.49,906.18,No
262.46,930.71,No
187.22,963.05,No
122.43,998.47,No
75.57,1033.56,No
50.38,1063.04,No
36.85,1088.12,No
23.32,1102.75,No
11.44,1111.11,No
9.9,1112.54,No
9.9,1110.34,No
2.97,1100.99,No
2.97,1086.58,No
0,1068.1,No
0,1045.99,No
0,1032.35,No
0,1025.42,No
0,1012.11,No
0,1006.94,No
0,1009.03,No
0,1009.47,No
0,1009.58,No
0,1016.18,No
0,1016.84,No
0,1018.05,No
0,1029.16,No
0,1031.03,No
0,1039.28,No
0,1042.14,No
0,1047.53,No
0,1050.28,No
0,1053.91,No
0,1051.71,No
0,1060.07,No
0,1055.67,No
0,1050.28,No
0,1050.06,No
0,1052.48,No
0,1049.4,No
0,1054.68,No
0,1056.77,No
0,1053.03,No
0,1061.06,No
0,1070.19,No
0,1083.83,No
0,1087.68,No
0,1089.55,No
0,1095.93,No
0,1094.83,No
0,1099.89,No
0,1098.46,No
0,1109.68,No
0,1105.17,No
0,1107.59,No
0,1105.17,No
4.62,1092.41,No
27.83,1074.7,No
82.17,1056.55,No
220.44,1029.6,No
280.39,992.53,No
370.92,943.03,No
481.25,891.33,No
597.41,828.3,No
706.64,749.87,No
780.23,671,No
852.5,583.44,No
897.93,485.76,No
932.47,375.43,No
968.33,264.77,No
997.59,184.14,No
1026.08,125.51,No
1050.5,82.5,No
1063.15,52.91,No
1075.14,27.61,No
1077.78,5.06,No
1076.46,4.18,No
1069.2,0,No
1057.21,0,No
1040.05,0,No
1034.66,0,No
1016.51,0,No
1010.13,0,No
1002.65,0,No
1005.18,0,No
1001.44,0,No
1001.66,0,No
1004.63,0,No
1010.02,0,No
1011.67,0,No
1014.53,0,No
1020.47,0,No
1025.42,0,No
1028.39,0,No
1034.11,0,No
1032.02,0,No
1036.86,0,No
1042.36,0,No
1040.16,0,No
1042.36,0,No
1042.36,0,No
1041.59,0,No
1043.9,0,No
1039.06,0,No
1034.55,0,No
1032.24,0,No
1025.75,0,No
1021.13,0,No
1009.91,0,No
1003.64,0,No
990.44,0,No
981.2,0,No
974.93,0,No
971.08,0,No
971.52,0,No
965.91,0,No
948.09,0,No
934.23,0,No
929.94,0,No
927.96,0,No
921.03,0,No
914.54,0,No
903.21,19.25,No
887.48,76.01,No
864.71,321.2,No
833.58,422.84,No
788.15,554.29,No
735.9,676.94,No
664.84,814.77,No
579.59,866.8,No
486.86,895.84,No
390.94,899.14,No
308.44,908.71,No
212.63,932.36,No
139.26,967.01,No
84.15,1003.97,No
54.34,1033.67,No
37.07,1055.45,No
23.1,1071.73,No
14.96,1080.42,No
9.9,1084.16,No
9.9,1079.54,No
8.36,1077.67,No
2.97,1073.05,No
0,1058.09,No
0,1049.07,No
0,1039.72,No
0,1033.23,No
0,1028.94,No
0,1027.29,No
0,1017.94,No
0,1021.35,No
0,1019.48,No
0,1015.52,No
0,1019.15,No
0,1018.6,No
0,1009.36,No
0,1011.12,No
0,1012.88,No
0,1015.63,No
0,1019.48,No
0,1020.14,No
0,1025.42,No
0,1031.25,No
0,1039.94,No
0,1046.98,No
0,1048.74,No
0,1059.3,No
0,1065.79,No
0,1076.02,No
0,1081.74,No
0,1089.99,No
0,1093.18,No
0,1097.36,No
0,1099.34,No
0,1100.66,No
0,1093.84,No
0,1085.7,No
0,1083.94,No
0,1085.37,No
0,1083.5,No
0,1085.26,No
0,1078.77,No
18.59,1067.66,No
64.57,1045.66,No
199.98,1023.77,No
288.2,992.75,No
365.53,946.66,No
477.95,886.71,No
617.87,823.79,No
762.3,754.49,No
825.44,667.15,No
882.31,573.54,No
919.27,481.47,No
939.95,378.29,No
975.81,261.47,No
1004.85,176.88,No
1025.86,109.12,No
1042.47,76.78,No
1057.32,49.17,No
1062.93,25.96,No
1072.17,5.06,No
1065.68,5.06,No
1058.42,0,No
1044.45,0,No
1027.62,0,No
1017.72,0,No
1003.53,0,No
989.67,0,No
985.05,0,No
982.96,0,No
982.85,0,No
976.8,0,No
981.2,0,No
984.06,0,No
986.48,0,No
989.34,0,No
997.04,0,No
1002.1,0,No
1008.26,0,No
1012.99,0,No
1014.53,0,No
1019.59,0,No
1022.78,0,No
1023.66,0,No
1015.74,0,No
1018.49,0,No
1014.64,0,No
1008.81,0,No
1004.52,0,No
1000.12,0,No
997.48,0,No
988.13,0,No
983.51,0,No
974.27,0,No
966.9,0,No
962.28,0,No
952.05,0,No
945.89,0,No
933.13,0,No
921.69,0,No
914.43,0,No
910.03,0,No
905.52,0,No
897.27,0,No
888.58,15.73,No
869.33,47.41,No
852.39,252.45,No
822.69,410.3,No
782.54,526.79,No
732.82,672.43,No
661.65,812.13,No
580.69,848.65,No
489.5,859.87,No
397.65,868.34,No
306.24,883.3,No
231.33,913.11,No
156.53,952.93,No
97.57,998.8,No
62.81,1038.84,No
43.89,1069.42,No
31.9,1096.59,No
18.26,1113.64,No
9.9,1117.05,No
4.51,1123.32,No
2.97,1121.89,No
0,1117.71,No
0,1105.94,No
0,1091.42,No
0,1072.17,No
0,1055.34,No
0,1044.12,No
0,1030.26,No
0,1023.88,No
0,1014.97,No
0,1011.01,No
0,1015.19,No
0,1012,No
0,1010.35,No
0,1012.66,No
0,1014.64,No
0,1021.9,No
0,1024.43,No
0,1032.9,No
0,1035.87,No
0,1044.56,No
0,1048.52,No
0,1063.04,No
0,1064.58,No
0,1079.98,No
0,1079.54,No
0,1087.24,No
0,1091.53,No
0,1096.37,No
0,1097.8,No
0,1100.11,No
0,1104.29,No
0,1097.14,No
0,1098.68,No
0,1092.85,No
0,1080.2,No
0,1066.01,No
0,1065.24,No
0,1057.87,No
0,1051.49,No
0,1044.34,No
0,1029.27,No
0,1012.33,No
20.9,1001.33,No
77.77,978.56,No
255.42,953.37,No
330.44,916.63,No
415.25,874.17,No
524.37,819.17,No
712.91,761.75,No
800.91,696.52,No
872.63,621.39,No
931.59,539.44,No
960.08,447.04,No
979,353.65,No
1000.67,252.12,No
1018.93,172.92,No
1036.97,113.63,No
1053.47,73.7,No
1064.8,48.62,No
1071.62,23.43,No
1079.76,0,No
1087.9,0,No
1078.22,0,No
1074.26,0,No
1060.18,0,No
1043.9,0,No
1033.89,0,No
1027.4,0,No
1020.25,0,No
1011.23,0,No
1009.25,0,No
1007.27,0,No
1009.91,0,No
1010.46,0,No
1011.67,0,No
1016.84,0,No
1022.78,0,No
1025.75,0,No
1031.47,0,No
1036.97,0,No
1038.62,0,No
1037.52,0,No
1041.04,0,No
1042.58,0,No
1042.03,0,No
1039.17,0,No
1040.27,0,No
1032.46,0,No
1029.27,0,No
1023.66,0,No
1015.85,0,No
1014.2,0,No
1003.31,0,No
997.15,0,No
988.35,0,No
979.77,0,No
976.14,0,No
973.5,0,No
964.92,0,No
962.72,0,No
954.47,0,No
943.69,0,No
928.29,0,No
914.65,0,No
908.05,0,No
894.52,0,No
882.75,8.69,No
869.66,31.57,No
853.93,136.84,No
832.37,307.01,No
804.65,379.39,No
770.77,486.2,No
724.35,605.22,No
674.63,733.04,No
609.29,791.67,No
537.46,812.79,No
450.67,839.41,No
369.71,843.04,No
296.67,852.39,No
226.82,878.13,No
159.17,916.08,No
104.17,964.26,No
68.53,1014.97,No
49.28,1058.2,No
30.36,1089.11,No
14.96,1115.29,No
8.36,1129.92,No
4.51,1136.96,No
2.97,1136.19,No
2.97,1130.8,No
2.97,1119.14,No
2.97,1097.69,No
0,1086.91,No
0,1069.86,No
0,1069.42,No
0,1055.23,No
0,1054.35,No
0,1048.52,No
0,1043.9,No
0,1049.95,No
0,1050.83,No
0,1049.51,No
0,1049.95,No
0,1055.89,No
0,1060.73,No
0,1072.39,No
0,1077.78,No
0,1086.14,No
0,1093.95,No
0,1098.02,No
0,1108.25,No
0,1110.56,No
0,1116.28,No
0,1121.78,No
0,1125.08,No
0,1129.48,No
0,1127.5,No
0,1124.97,No
0,1112.76,No
0,1103.19,No
0,1093.84,No
0,1076.46,No
0,1058.64,No
0,1046.32,No
0,1024.76,No
0,1018.82,No
0,1009.25,No
0,1007.38,No
0,998.8,No
9.24,991.1,No
40.15,976.14,No
94.82,963.93,No
210.32,942.59,No
409.86,912.78,No
508.42,869.55,No
653.51,812.35,No
787.05,754.93,No
862.73,692.23,No
898.26,614.46,No
928.51,530.31,No
937.75,447.48,No
944.57,362.23,No
957.66,279.73,No
959.97,195.8,No
976.25,126.61,No
995.06,78.76,No
1016.62,54.23,No
1033.34,34.1,No
1052.59,29.37,No
1064.58,27.28,No
1072.94,22.55,No
1073.27,31.02,No
1074.59,22.55,No
1068.87,22.55,No
1072.28,22.55,No
1072.94,22.55,No
1076.57,19.14,No
1081.96,20.35,No
1087.9,20.35,No
1094.83,20.35,No
1099.01,16.94,No
1112.21,11.88,No
1120.35,20.35,No
1124.42,15.29,No
1130.47,19.14,No
1130.47,22.55,No
1131.46,22.55,No
1135.64,22.55,No
1142.02,24.64,No
1140.04,28.49,No
1134.32,58.3,No
1138.72,63.47,No
1138.61,59.18,No
1135.86,52.36,No
1128.49,45.87,No
1130.69,38.39,No
1130.69,28.82,No
1127.83,28.82,No
1125.52,25.96,No
1123.1,20.9,No
1126.29,26.73,No
1126.73,44.55,No
1122.77,63.91,No
1116.5,71.5,No
1110.01,76.67,No
1108.47,93.28,No
1102.31,100.76,No
1089.33,117.04,No
1079.87,130.57,No
1065.9,152.79,No
1051.38,182.27,No
1032.35,216.04,No
1009.36,246.95,No
980.32,286.66,No
952.27,338.91,No
908.93,408.65,No
864.38,491.7,No
814.44,563.42,No
761.09,617.54,No
712.47,658.46,No
665.72,688.16,No
617.1,704.77,No
577.61,721.93,No
536.25,731.28,No
510.73,747.45,No
492.25,762.19,No
474.65,780.78,No
465.63,796.18,No
456.39,803.11,No
442.75,824.01,No
435.38,842.49,No
430.21,860.42,No
420.64,883.85,No
398.97,896.83,No
389.73,912.34,No
378.18,919.71,No
360.47,922.57,No
346.39,929.72,No
341.44,939.95,No
322.63,946.99,No
309.32,952.16,No
290.29,956.67,No
277.53,966.9,No
264.66,969.76,No
259.93,979.22,No
253.22,989.45,No
238.48,991.43,No
230.01,997.81,No
211.53,1005.4,No
200.42,1013.32,No
191.07,1019.15,No
175.23,1024.87,No
161.59,1030.81,No
155.76,1042.14,No
147.84,1047.2,No
141.46,1047.42,No
135.41,1051.05,No
133.21,1062.16,No
125.73,1069.09,No
125.07,1067.11,No
121.11,1072.72,No
119.13,1073.71,No
116.93,1078.11,No
116.93,1077.89,No
116.93,1081.74,No
116.27,1088.23,No
124.3,1091.75,No
128.04,1084.6,No
137.5,1085.81,No
155.98,1078.88,No
177.65,1078.22,No
203.28,1069.53,No
238.04,1053.91,No
274.56,1032.68,No
318.78,1016.07,No
358.93,985.16,No
405.79,947.54,No
450.12,919.71,No
491.81,880.44,No
525.69,845.02,No
555.94,810.04,No
592.9,769.12,No
623.15,728.97,No
657.03,684.64,No
691.9,633.16,No
724.02,588.17,No
758.12,542.19,No
789.91,497.75,No
821.04,449.79,No
852.94,408.65,No
885.28,361.46,No
918.06,322.41,No
944.35,278.41,No
975.26,229.35,No
1001.44,178.75,No
1023,139.04,No
1046.65,108.02,No
1066.78,81.18,No
1075.25,53.46,No
1091.42,38.94,No
1101.65,33.77,No
1104.51,25.63,No
1100.33,26.95,No
1099.89,21.34,No
1093.4,19.14,No
1091.09,19.14,No
1090.87,19.14,No
1082.51,19.14,No
1085.48,22.11,No
1085.37,22.11,No
1085.37,16.5,No
1085.92,22.11,No
1090.1,22.11,No
1089.55,22.11,No
1094.28,22.11,No
1098.57,22.11,No
1102.53,22.11,No
1104.62,22.11,No
1110.78,26.95,No
1118.59,37.07,No
1120.13,47.3,No
1122.88,45.21,No
1122,47.63,No
1118.15,44.77,No
1118.59,41.14,No
1115.51,38.06,No
1109.13,42.79,No
1098.68,42.79,No
1091.2,44.11,No
1074.37,49.83,No
1065.35,69.19,No
1046.87,105.71,No
1023.22,147.73,No
996.27,209.99,No
959.53,306.79,No
909.37,410.19,No
842.27,542.74,No
756.36,643.06,No
668.25,710.49,No
580.03,770.88,No
500.83,828.41,No
426.36,875.82,No
372.9,920.26,No
322.85,954.91,No
284.79,978.45,No
241.23,1000.23,No
206.25,1010.68,No
183.59,1016.51,No
166.87,1023.77,No
142.34,1023.11,No
124.3,1033.01,No
103.4,1037.52,No
86.24,1042.8,No
70.29,1047.64,No
51.15,1047.75,No
39.16,1054.9,No
32.56,1056.11,No
22.22,1069.53,No
